"STATION","DIRECTION","DAYTYPE","ARRIVAL"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","13:17:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","13:33:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","13:49:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","14:05:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","14:21:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","14:37:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","14:53:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","15:09:29"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","15:26:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","15:42:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","21:42:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","21:54:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","22:06:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","22:18:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","22:30:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","22:42:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","22:54:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","23:06:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","23:18:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","23:30:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","23:42:09"
"CUPEY","TO_BAYAMON","LOW_SEASON_WORKDAY","23:54:09"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","00:08:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","00:20:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","00:32:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","00:44:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","00:56:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","01:07:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","01:23:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","01:39:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","01:55:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","02:11:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","02:27:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","02:43:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","02:59:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","03:15:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","03:31:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","03:47:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","04:03:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","04:19:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","04:35:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","04:51:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","05:07:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","05:23:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","05:39:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","05:55:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","06:11:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","06:27:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","06:43:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","06:59:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","07:15:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","07:31:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","07:48:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","08:04:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","08:17:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","08:28:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","08:40:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","08:52:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","09:04:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","09:16:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","09:28:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","09:40:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","09:52:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","10:04:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","10:16:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","10:28:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","10:40:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","10:51:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","11:08:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","11:23:20"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","11:39:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","11:55:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","12:11:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","12:27:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","12:43:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","12:59:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","13:15:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","13:31:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","13:47:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","14:03:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","14:19:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","14:35:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","14:51:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","15:07:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","15:23:10"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","15:40:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","15:56:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","21:56:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","22:08:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","22:20:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","22:32:55"
"DEPORTIVO","TO_BAYAMON","LOW_SEASON_WORKDAY","22:44:55"
